date,question,side,raw_price,fill,won,pnl_per_$1,volume
2026-03-17,Pistons vs. Wizards,Pistons,0.945,0.955,True,0.0471,0
2026-03-18,76ers vs. Nuggets,Nuggets,0.905,0.915,True,0.0929,0
2026-03-18,Thunder vs. Nets,Thunder,0.945,0.955,True,0.0471,0
2026-03-19,Pistons vs. Wizards,Pistons,0.905,0.915,True,0.0929,0
2026-03-20,Knicks vs. Nets,Knicks,0.935,0.9450000000000001,True,0.0582,0
2026-03-20,Celtics vs. Grizzlies,Celtics,0.905,0.915,True,0.0929,0
2026-03-21,Thunder vs. Wizards,Thunder,0.955,0.965,True,0.0363,0
2026-03-21,Grizzlies vs. Hornets,Hornets,0.935,0.9450000000000001,True,0.0582,0
2026-03-21,Pacers vs. Spurs,Spurs,0.905,0.915,True,0.0929,0
2026-03-22,Wizards vs. Knicks,Knicks,0.955,0.965,True,0.0363,0
2026-03-23,Thunder vs. 76ers,Thunder,0.915,0.925,True,0.0811,0
2026-03-24,Nets vs. Trail Blazers,Trail Blazers,0.905,0.915,True,0.0929,0
2026-03-24,Kings vs. Hornets,Hornets,0.935,0.9450000000000001,True,0.0582,0
2026-03-25,Spurs vs. Grizzlies,Spurs,0.935,0.9450000000000001,True,0.0582,0
2026-03-26,Kings vs. Magic,Magic,0.905,0.915,True,0.0929,2116532
2026-03-27,Bulls vs. Thunder,Thunder,0.945,0.955,True,0.0471,2282813
2026-03-28,Jazz vs. Nuggets,Nuggets,0.945,0.955,True,0.0471,1663036
2026-03-28,Nets vs. Lakers,Lakers,0.945,0.955,True,0.0471,2501560
2026-03-28,Spurs vs. Bucks,Spurs,0.935,0.9450000000000001,True,0.0582,2387700
2026-03-29,Jazz vs. Suns,Suns,0.925,0.935,True,0.0695,1255713
2026-03-29,Clippers vs. Bucks,Clippers,0.915,0.925,True,0.0811,2322006
2026-03-29,Wizards vs. Trail Blazers,Trail Blazers,0.925,0.935,True,0.0695,593886
2026-03-30,Bulls vs. Spurs,Spurs,0.945,0.955,True,0.0471,1851407
2026-03-31,Cavaliers vs. Jazz,Cavaliers,0.915,0.925,True,0.0811,1182648
2026-03-31,Wizards vs. Lakers,Lakers,0.915,0.925,True,0.0811,1773447
2026-03-31,Hornets vs. Nets,Hornets,0.925,0.935,True,0.0695,1887205
2026-04-01,76ers vs. Wizards,76ers,0.905,0.915,True,0.0929,2440471
2026-04-01,Bucks vs. Rockets,Rockets,0.945,0.955,True,0.0471,957051
2026-04-02,Nuggets vs. Jazz,Nuggets,0.925,0.935,True,0.0695,1077823
2026-04-02,Spurs vs. Warriors,Spurs,0.905,0.915,True,0.0929,2440238
2026-04-03,Pacers vs. Hornets,Hornets,0.915,0.925,True,0.0811,1490739
2026-04-03,Hawks vs. Nets,Hawks,0.925,0.935,True,0.0695,924760
2026-04-03,Bulls vs. Knicks,Knicks,0.905,0.915,True,0.0929,1413850
2026-04-03,Jazz vs. Rockets,Rockets,0.925,0.935,True,0.0695,791819
2026-04-03,Celtics vs. Bucks,Celtics,0.935,0.9450000000000001,True,0.0582,649054
2026-04-04,Wizards vs. Heat,Heat,0.945,0.955,True,0.0471,1354179
2026-04-05,Pacers vs. Cavaliers,Cavaliers,0.925,0.935,True,0.0695,2219798
2026-04-08,Kings vs. Warriors,Warriors,0.905,0.915,True,0.0929,1353662
2026-04-08,Thunder vs. Lakers,Thunder,0.945,0.955,True,0.0471,2956118
2026-04-08,Bucks vs. Pistons,Pistons,0.955,0.965,True,0.0363,1607046
2026-04-10,Heat vs. Wizards,Heat,0.915,0.925,True,0.0811,893023
2026-04-10,Pelicans vs. Celtics,Celtics,0.935,0.9450000000000001,True,0.0582,993511
2026-04-10,Magic vs. Bulls,Magic,0.905,0.915,True,0.0929,445518
2026-04-10,Mavericks vs. Spurs,Spurs,0.935,0.9450000000000001,True,0.0582,1024421
2026-04-12,Pistons vs. Pacers,Pistons,0.905,0.915,True,0.0929,729759
2026-04-12,Bucks vs. 76ers,76ers,0.915,0.925,True,0.0811,786711
2026-04-13,Grizzlies vs. Rockets,Rockets,0.9,0.91,True,0.0989,378613
2026-04-13,Jazz vs. Lakers,Lakers,0.905,0.915,True,0.0929,1015321
2026-04-13,Kings vs. Trail Blazers,Trail Blazers,0.945,0.955,True,0.0471,1132273
2026-04-19,Suns vs. Thunder,Thunder,0.905,0.915,True,0.0929,3153487
2026-04-23,Suns vs. Thunder,Thunder,0.915,0.925,True,0.0811,4421394
